policy,timestep,sensitivity_weighted_tile_error,mean_assigned_noise_std,sensitivity_weighted_mean_assigned_noise_std,capacity_utilization,shards_on_faulted_tiles,shards_on_unavailable_tiles,projections_on_faulted_tiles,projections_on_unavailable_tiles,placement_feasible,service_failure,available_capacity_utilization
random,15,49.93409791200463,0.02443196422394754,0.024270723398958752,0.857421875,0,0,0,0,True,False,0.857421875
random,16,48.93413601849822,0.024235845958215017,0.02401700642968676,0.857421875,0,0,0,0,True,False,0.857421875
random,17,48.49837234984401,0.02410454585261301,0.023905734161203576,0.857421875,0,0,0,0,True,False,0.857421875
random,18,48.91754106392061,0.024076447495120612,0.024028407974582784,0.857421875,0,0,0,0,True,False,0.857421875
random,19,50.63779920723924,0.024310270420339182,0.02444211589226044,0.857421875,0,0,0,0,True,False,0.857421875
random,20,51.411222668782116,0.0243989771320691,0.024628203699356116,0.857421875,0,0,0,0,True,False,0.857421875
random,21,51.813453683764614,0.024467645302302783,0.02471822759279394,0.857421875,0,0,0,0,True,False,0.857421875
random,22,51.33475489824167,0.0244022622072589,0.024612493089437467,0.857421875,0,0,0,0,True,False,0.857421875
random,23,51.53972107498012,0.02448563585689189,0.024667924707169615,0.857421875,0,0,0,0,True,False,0.857421875
random,24,51.67189582687047,0.024500874213334457,0.02469443717024808,0.857421875,0,0,0,0,True,False,0.857421875
random,25,52.08223413916694,0.024711506036539863,0.024795253438989327,0.857421875,0,0,0,0,True,False,0.857421875
random,26,51.877091880420636,0.02470265432030759,0.024740029413447606,0.857421875,0,0,0,0,True,False,0.857421875
random,27,52.083811461363084,0.024717788454934886,0.02478662910415005,0.857421875,0,0,0,0,True,False,0.857421875
random,28,51.779249199348335,0.024684828268915073,0.024704515970995447,0.857421875,0,0,0,0,True,False,0.857421875
random,29,51.71820980385877,0.024675633978851228,0.02468714108307491,0.857421875,0,0,0,0,True,False,0.857421875
random,30,52.17020927896326,0.024655239853801116,0.024793424636006416,0.857421875,0,0,0,0,True,False,0.857421875
random,31,52.25136387176035,0.024610331393723452,0.024808176170931295,0.857421875,0,0,0,0,True,False,0.857421875
random,32,53.02066753082947,0.024720670137378956,0.024991223512931364,0.857421875,0,0,0,0,True,False,0.857421875
random,33,52.7901491964591,0.02465796435528983,0.024935884659416322,0.857421875,0,0,0,0,True,False,0.857421875
random,34,53.69153017224981,0.024928114613029666,0.02514705975724379,0.857421875,0,0,0,0,True,False,0.857421875
random,35,54.63268121908958,0.025125372527000693,0.025371976880848503,0.857421875,0,0,0,0,True,False,0.857421875
random,36,54.50077619697976,0.025128604226081784,0.025343757052195028,0.857421875,0,0,0,0,True,False,0.857421875
random,37,54.48491658704762,0.025160117629708847,0.025352356612693278,0.857421875,0,0,0,0,True,False,0.857421875
random,38,55.40368321612821,0.025275225632080442,0.025563004648552587,0.857421875,0,0,0,0,True,False,0.857421875
random,39,54.8347603743802,0.025247180104966897,0.025429685604648415,0.857421875,0,0,0,0,True,False,0.857421875
random,40,54.576248765095464,0.025196275273235567,0.025359361035085688,0.857421875,0,0,0,0,True,False,0.857421875
random,41,54.00483244666747,0.025167955176757465,0.025235735157969195,0.857421875,0,0,0,0,True,False,0.857421875
random,42,53.28011164170632,0.025098003765766423,0.025051561882092326,0.857421875,0,0,0,0,True,False,0.857421875
random,43,53.88131837717067,0.02510194490071083,0.025190213277273565,0.857421875,0,0,0,0,True,False,0.857421875
