policy,module_name,shard_id,projection_id,block_id,projection_name,execution_index,tile_id,tier_start,tiers_used,used_rows,used_cols,weights_in_shard,group_total_weights,module_num_weights,shard_weight,sensitivity_score,shard_importance,utilization
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r22c0,embedding/token_embedding,embedding,token_embedding,-100,58,2,1,512,512,262144,38597376,38597376,0.006791757035504175,0.0,0.0,1.0
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r22c1,embedding/token_embedding,embedding,token_embedding,-100,13,3,1,512,256,131072,38597376,38597376,0.0033958785177520875,0.0,0.0,0.5
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r23c0,embedding/token_embedding,embedding,token_embedding,-100,51,2,1,512,512,262144,38597376,38597376,0.006791757035504175,0.0,0.0,1.0
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r23c1,embedding/token_embedding,embedding,token_embedding,-100,62,2,1,512,256,131072,38597376,38597376,0.0033958785177520875,0.0,0.0,0.5
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r24c0,embedding/token_embedding,embedding,token_embedding,-100,2,3,1,512,512,262144,38597376,38597376,0.006791757035504175,0.0,0.0,1.0
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r24c1,embedding/token_embedding,embedding,token_embedding,-100,27,3,1,512,256,131072,38597376,38597376,0.0033958785177520875,0.0,0.0,0.5
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r25c0,embedding/token_embedding,embedding,token_embedding,-100,37,3,1,512,512,262144,38597376,38597376,0.006791757035504175,0.0,0.0,1.0
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r25c1,embedding/token_embedding,embedding,token_embedding,-100,5,3,1,512,256,131072,38597376,38597376,0.0033958785177520875,0.0,0.0,0.5
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r26c0,embedding/token_embedding,embedding,token_embedding,-100,34,3,1,512,512,262144,38597376,38597376,0.006791757035504175,0.0,0.0,1.0
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r26c1,embedding/token_embedding,embedding,token_embedding,-100,56,2,1,512,256,131072,38597376,38597376,0.0033958785177520875,0.0,0.0,0.5
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r27c0,embedding/token_embedding,embedding,token_embedding,-100,43,3,1,512,512,262144,38597376,38597376,0.006791757035504175,0.0,0.0,1.0
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r27c1,embedding/token_embedding,embedding,token_embedding,-100,6,3,1,512,256,131072,38597376,38597376,0.0033958785177520875,0.0,0.0,0.5
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r28c0,embedding/token_embedding,embedding,token_embedding,-100,61,2,1,512,512,262144,38597376,38597376,0.006791757035504175,0.0,0.0,1.0
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r28c1,embedding/token_embedding,embedding,token_embedding,-100,8,3,1,512,256,131072,38597376,38597376,0.0033958785177520875,0.0,0.0,0.5
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r29c0,embedding/token_embedding,embedding,token_embedding,-100,63,2,1,512,512,262144,38597376,38597376,0.006791757035504175,0.0,0.0,1.0
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r29c1,embedding/token_embedding,embedding,token_embedding,-100,15,3,1,512,256,131072,38597376,38597376,0.0033958785177520875,0.0,0.0,0.5
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r30c0,embedding/token_embedding,embedding,token_embedding,-100,17,3,1,512,512,262144,38597376,38597376,0.006791757035504175,0.0,0.0,1.0
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r30c1,embedding/token_embedding,embedding,token_embedding,-100,47,2,1,512,256,131072,38597376,38597376,0.0033958785177520875,0.0,0.0,0.5
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r31c0,embedding/token_embedding,embedding,token_embedding,-100,1,3,1,512,512,262144,38597376,38597376,0.006791757035504175,0.0,0.0,1.0
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r31c1,embedding/token_embedding,embedding,token_embedding,-100,14,3,1,512,256,131072,38597376,38597376,0.0033958785177520875,0.0,0.0,0.5
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r32c0,embedding/token_embedding,embedding,token_embedding,-100,47,3,1,512,512,262144,38597376,38597376,0.006791757035504175,0.0,0.0,1.0
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r32c1,embedding/token_embedding,embedding,token_embedding,-100,48,3,1,512,256,131072,38597376,38597376,0.0033958785177520875,0.0,0.0,0.5
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r33c0,embedding/token_embedding,embedding,token_embedding,-100,49,3,1,512,512,262144,38597376,38597376,0.006791757035504175,0.0,0.0,1.0
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r33c1,embedding/token_embedding,embedding,token_embedding,-100,50,3,1,512,256,131072,38597376,38597376,0.0033958785177520875,0.0,0.0,0.5
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r34c0,embedding/token_embedding,embedding,token_embedding,-100,51,3,1,512,512,262144,38597376,38597376,0.006791757035504175,0.0,0.0,1.0
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r34c1,embedding/token_embedding,embedding,token_embedding,-100,52,3,1,512,256,131072,38597376,38597376,0.0033958785177520875,0.0,0.0,0.5
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r35c0,embedding/token_embedding,embedding,token_embedding,-100,53,3,1,512,512,262144,38597376,38597376,0.006791757035504175,0.0,0.0,1.0
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r35c1,embedding/token_embedding,embedding,token_embedding,-100,54,3,1,512,256,131072,38597376,38597376,0.0033958785177520875,0.0,0.0,0.5
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r36c0,embedding/token_embedding,embedding,token_embedding,-100,55,3,1,512,512,262144,38597376,38597376,0.006791757035504175,0.0,0.0,1.0
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r36c1,embedding/token_embedding,embedding,token_embedding,-100,56,3,1,512,256,131072,38597376,38597376,0.0033958785177520875,0.0,0.0,0.5
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r37c0,embedding/token_embedding,embedding,token_embedding,-100,57,3,1,512,512,262144,38597376,38597376,0.006791757035504175,0.0,0.0,1.0
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r37c1,embedding/token_embedding,embedding,token_embedding,-100,58,3,1,512,256,131072,38597376,38597376,0.0033958785177520875,0.0,0.0,0.5
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r38c0,embedding/token_embedding,embedding,token_embedding,-100,42,4,1,512,512,262144,38597376,38597376,0.006791757035504175,0.0,0.0,1.0
random,decoder_stack.layers.0.token_embedding,decoder_stack.layers.0.token_embedding#r38c1,embedding/token_embedding,embedding,token_embedding,-100,31,4,1,512,256,131072,38597376,38597376,0.0033958785177520875,0.0,0.0,0.5
