policy,shard_id,projection_id,block_id,projection_name,execution_index,row_shard_index,col_shard_index,tile_id,tier_start,tiers_used,weights_in_shard,weights_in_projection,shard_weight,sensitivity_score,shard_importance
random,decoder_stack.layers.0.token_embedding#r36c1,embedding/token_embedding,embedding,token_embedding,-100,36,1,56,3,1,131072,38597376,0.0033958785177520875,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r37c0,embedding/token_embedding,embedding,token_embedding,-100,37,0,57,3,1,262144,38597376,0.006791757035504175,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r37c1,embedding/token_embedding,embedding,token_embedding,-100,37,1,58,3,1,131072,38597376,0.0033958785177520875,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r38c0,embedding/token_embedding,embedding,token_embedding,-100,38,0,42,4,1,262144,38597376,0.006791757035504175,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r38c1,embedding/token_embedding,embedding,token_embedding,-100,38,1,31,4,1,131072,38597376,0.0033958785177520875,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r39c0,embedding/token_embedding,embedding,token_embedding,-100,39,0,16,4,1,262144,38597376,0.006791757035504175,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r39c1,embedding/token_embedding,embedding,token_embedding,-100,39,1,21,4,1,131072,38597376,0.0033958785177520875,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r40c0,embedding/token_embedding,embedding,token_embedding,-100,40,0,36,4,1,262144,38597376,0.006791757035504175,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r40c1,embedding/token_embedding,embedding,token_embedding,-100,40,1,41,4,1,131072,38597376,0.0033958785177520875,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r41c0,embedding/token_embedding,embedding,token_embedding,-100,41,0,29,4,1,262144,38597376,0.006791757035504175,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r41c1,embedding/token_embedding,embedding,token_embedding,-100,41,1,20,4,1,131072,38597376,0.0033958785177520875,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r42c0,embedding/token_embedding,embedding,token_embedding,-100,42,0,11,4,1,262144,38597376,0.006791757035504175,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r42c1,embedding/token_embedding,embedding,token_embedding,-100,42,1,50,4,1,131072,38597376,0.0033958785177520875,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r43c0,embedding/token_embedding,embedding,token_embedding,-100,43,0,39,4,1,262144,38597376,0.006791757035504175,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r43c1,embedding/token_embedding,embedding,token_embedding,-100,43,1,48,4,1,131072,38597376,0.0033958785177520875,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r44c0,embedding/token_embedding,embedding,token_embedding,-100,44,0,3,4,1,262144,38597376,0.006791757035504175,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r44c1,embedding/token_embedding,embedding,token_embedding,-100,44,1,30,4,1,131072,38597376,0.0033958785177520875,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r45c0,embedding/token_embedding,embedding,token_embedding,-100,45,0,24,4,1,262144,38597376,0.006791757035504175,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r45c1,embedding/token_embedding,embedding,token_embedding,-100,45,1,55,4,1,131072,38597376,0.0033958785177520875,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r46c0,embedding/token_embedding,embedding,token_embedding,-100,46,0,4,4,1,262144,38597376,0.006791757035504175,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r46c1,embedding/token_embedding,embedding,token_embedding,-100,46,1,57,4,1,131072,38597376,0.0033958785177520875,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r47c0,embedding/token_embedding,embedding,token_embedding,-100,47,0,54,4,1,262144,38597376,0.006791757035504175,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r47c1,embedding/token_embedding,embedding,token_embedding,-100,47,1,49,4,1,131072,38597376,0.0033958785177520875,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r48c0,embedding/token_embedding,embedding,token_embedding,-100,48,0,10,4,1,262144,38597376,0.006791757035504175,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r48c1,embedding/token_embedding,embedding,token_embedding,-100,48,1,0,4,1,131072,38597376,0.0033958785177520875,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r49c0,embedding/token_embedding,embedding,token_embedding,-100,49,0,60,3,1,262144,38597376,0.006791757035504175,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r49c1,embedding/token_embedding,embedding,token_embedding,-100,49,1,28,4,1,131072,38597376,0.0033958785177520875,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r50c0,embedding/token_embedding,embedding,token_embedding,-100,50,0,44,4,1,262144,38597376,0.006791757035504175,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r50c1,embedding/token_embedding,embedding,token_embedding,-100,50,1,26,4,1,131072,38597376,0.0033958785177520875,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r51c0,embedding/token_embedding,embedding,token_embedding,-100,51,0,52,4,1,262144,38597376,0.006791757035504175,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r51c1,embedding/token_embedding,embedding,token_embedding,-100,51,1,12,4,1,131072,38597376,0.0033958785177520875,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r52c0,embedding/token_embedding,embedding,token_embedding,-100,52,0,35,4,1,262144,38597376,0.006791757035504175,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r52c1,embedding/token_embedding,embedding,token_embedding,-100,52,1,53,4,1,131072,38597376,0.0033958785177520875,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r53c0,embedding/token_embedding,embedding,token_embedding,-100,53,0,38,4,1,262144,38597376,0.006791757035504175,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r53c1,embedding/token_embedding,embedding,token_embedding,-100,53,1,32,4,1,131072,38597376,0.0033958785177520875,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r54c0,embedding/token_embedding,embedding,token_embedding,-100,54,0,58,4,1,262144,38597376,0.006791757035504175,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r54c1,embedding/token_embedding,embedding,token_embedding,-100,54,1,13,4,1,131072,38597376,0.0033958785177520875,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r55c0,embedding/token_embedding,embedding,token_embedding,-100,55,0,51,4,1,262144,38597376,0.006791757035504175,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r55c1,embedding/token_embedding,embedding,token_embedding,-100,55,1,62,3,1,131072,38597376,0.0033958785177520875,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r56c0,embedding/token_embedding,embedding,token_embedding,-100,56,0,2,4,1,262144,38597376,0.006791757035504175,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r56c1,embedding/token_embedding,embedding,token_embedding,-100,56,1,27,4,1,131072,38597376,0.0033958785177520875,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r57c0,embedding/token_embedding,embedding,token_embedding,-100,57,0,37,4,1,262144,38597376,0.006791757035504175,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r57c1,embedding/token_embedding,embedding,token_embedding,-100,57,1,5,4,1,131072,38597376,0.0033958785177520875,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r58c0,embedding/token_embedding,embedding,token_embedding,-100,58,0,34,4,1,262144,38597376,0.006791757035504175,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r58c1,embedding/token_embedding,embedding,token_embedding,-100,58,1,56,4,1,131072,38597376,0.0033958785177520875,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r59c0,embedding/token_embedding,embedding,token_embedding,-100,59,0,43,4,1,262144,38597376,0.006791757035504175,0.0,0.0
random,decoder_stack.layers.0.token_embedding#r59c1,embedding/token_embedding,embedding,token_embedding,-100,59,1,6,4,1,131072,38597376,0.0033958785177520875,0.0,0.0
