tile_id,thermal_zone,initial_fidelity_class,base_noise_std,drift_rate,fault_onset_timestep,fault_noise_increase_fraction,initial_noise_std,final_noise_std,mean_noise_std,max_noise_std,initial_fidelity_score,final_fidelity_score,final_dynamic_fidelity_class,final_available,final_faulted
52,5,low,0.03881642267159906,0.0589821238784658,,0.0,0.03881642267159906,0.041284502572422006,0.03956372602613356,0.04257636594905461,0.2598596001936768,0.23685752452221023,low,True,False
53,5,high,0.01712781769780332,0.1370194120006076,,0.0,0.01712781769780332,0.019553470925382076,0.018125870895928868,0.01997180477299158,0.643268913846033,0.5804650626463419,medium,True,False
54,6,low,0.036495389740262764,0.2484751128111674,,0.0,0.036495389740262764,0.04982430566354304,0.04162298028355355,0.05001917579162704,0.28426899362923025,0.17566221963776116,low,True,False
55,6,medium,0.022767062909861427,0.2283354532509828,,0.0,0.022767062909861427,0.030623572199821016,0.025736567492252515,0.030748991917114762,0.505089491031803,0.3606482514332668,low,True,False
56,6,medium,0.021952311184487733,0.19972160389138985,,0.0,0.021952311184487733,0.028899523990710312,0.024501477759527126,0.029025733873497866,0.5232940196237927,0.38777803195973354,low,True,False
57,6,medium,0.021143398425906096,0.228158498175705,,0.0,0.021143398425906096,0.028435868491184294,0.02389925797864985,0.02855237516900549,0.5419841533954391,0.39548485871389194,low,True,False
58,6,medium,0.024851971024101673,0.22868932793957264,,0.0,0.024851971024101673,0.03343673958022784,0.02809780709921278,0.03357357078384192,0.46135579880965,0.32118700931125366,low,True,False
59,6,medium,0.02279657093323461,0.1537716720772898,,0.0,0.02279657093323461,0.02896346439171028,0.024920024979376742,0.029103330684710355,0.5044419276102706,0.38672918844568693,low,True,False
60,6,high,0.013813589347572576,0.1131858103661586,,0.0,0.013813589347572576,0.016989783956925412,0.014819978783122694,0.017079247211764903,0.7349107976143626,0.64697390700391,high,True,False
61,6,medium,0.022107400471093004,0.2044024864221976,,0.0,0.022107400471093004,0.029207176280437574,0.024726317539990363,0.029333408216391924,0.5197805711374486,0.38276220046384696,low,True,False
62,6,medium,0.02336441001713272,0.18233225263355224,60,0.24873300185141245,0.02336441001713272,0.03616371538949535,0.02878015759201523,0.036301458035293624,0.4921407927536747,0.2879986272415001,low,True,True
63,7,medium,0.021513154801520468,0.12473154577474202,,0.0,0.021513154801520468,0.025803891185798695,0.022454080812700943,0.025891018953875702,0.5333651513296755,0.4427368063214308,medium,True,False
64,7,high,0.01757553213353116,0.06889333361230306,,0.0,0.01757553213353116,0.020099534794993913,0.017853544251628654,0.020195456115299822,0.6313407604000876,0.5669934977754576,medium,True,False
65,7,medium,0.024189189837241967,0.1993579222698052,,0.0,0.024189189837241967,0.030818805242677,0.02614973402854129,0.030871262866125636,0.474815522172231,0.3577227784673323,low,True,False
66,7,high,0.016786911996717887,0.10249210318457294,,0.0,0.016786911996717887,0.0197616813836817,0.017334459410013502,0.019839079700334755,0.6524416991090122,0.5752976220266693,medium,True,False
67,7,high,0.015134534978706846,0.23736263010675585,,0.0,0.015134534978706846,0.019857693208821248,0.016648787307631304,0.019876014127103766,0.697839330716276,0.5729275097274891,medium,True,False
68,7,low,0.03567124133446248,0.09819411500113695,,0.0,0.03567124133446248,0.04183914395286817,0.03675809142319042,0.04200747608434687,0.2936543800343956,0.23206701416432785,low,True,False
69,7,medium,0.023386850656998588,0.0745515864822972,,0.0,0.023386850656998588,0.026877739036103736,0.023822951346216262,0.027002040552796633,0.49166091795536476,0.42272220362247925,medium,True,False
70,7,low,0.03587858873430434,0.21622253442498124,,0.0,0.03587858873430434,0.04631703684295527,0.03908910295208787,0.04637959047476267,0.2912557540982805,0.19781114660272042,low,True,False
71,7,high,0.013135554846554364,0.08065686332489881,,0.0,0.013135554846554364,0.015176457787784698,0.01342059505492325,0.015244251736609973,0.7540523531141724,0.6966715041404993,high,True,False
