timestep,mean_noise_std,std_noise_std,min_noise_std,max_noise_std,mean_fidelity_score,min_fidelity_score,max_fidelity_score,available_tiles,faulted_tiles,high_fidelity_tiles,medium_fidelity_tiles,low_fidelity_tiles
78,0.026191218638026086,0.0078482724967835,0.012659348806021662,0.04339422956200275,0.4608611138963872,0.2193146871894933,0.7674907602124542,72,5,16,33,23
79,0.026311950963276435,0.007809596012691059,0.01250117704756879,0.04321001486701918,0.4583213536165371,0.22077493058277353,0.7719478780681269,72,6,16,33,23
80,0.02665079247350723,0.007862483825365125,0.013025066621455028,0.04332613644229186,0.4522436907021727,0.21985291807216975,0.7571719927009984,72,6,16,31,25
81,0.02691459431523351,0.00793555746209587,0.01293962407868985,0.043923934088851306,0.4477644121497012,0.21518830931415098,0.7595839631036385,72,6,16,29,27
82,0.02683271247631761,0.007987383002025608,0.01309129399478623,0.043313402295382476,0.44963851525221,0.21995377226646895,0.755302129795989,72,6,16,29,27
83,0.02676180310598422,0.008003246618374782,0.013006448502152369,0.04299132324908097,0.4510616694051155,0.22252566527637135,0.7576976104742867,72,6,16,30,26
84,0.02660455269435254,0.007979736959066031,0.013241511960804881,0.04304959358549196,0.45390790237069617,0.22205734589044665,0.7510602454029682,72,6,16,31,25
85,0.026557662607996975,0.007995992575876973,0.01326706042739027,0.04243594460593519,0.4548916592577381,0.2270572009996024,0.7503387598114045,72,6,16,31,25
86,0.026338864062843456,0.007896697493625718,0.012853975453765007,0.04244437722653041,0.4584223270145639,0.22698746595826397,0.7620011380406521,72,6,16,30,26
87,0.026318488150025274,0.007833471758673119,0.012790289168575192,0.04265444126494648,0.458411221040982,0.22525962090420706,0.7637979996568648,72,6,16,31,25
88,0.026410655061841107,0.007900145894807621,0.012743105096912326,0.04280241234007521,0.45705471832436356,0.22405318977106395,0.7651289487497714,72,6,16,31,25
89,0.02666191230860768,0.0079415206854517,0.012960407657250669,0.04379673867580784,0.45255231014876807,0.2161694487230533,0.7589973105362594,72,6,16,32,24
90,0.026685851860102264,0.007908236029151933,0.012971945713760102,0.04373834283290698,0.45187896827732277,0.21662193472174254,0.758671614110412,72,6,16,30,26
91,0.02690771490008144,0.00798031387930311,0.01300252265279611,0.044516946299361766,0.4481245277462582,0.21069330178602352,0.7578084402584196,72,6,16,30,26
92,0.027072516708295313,0.008016342678502101,0.012828547002377124,0.044659667159775124,0.4452402646784428,0.20963065659159216,0.7627186380244964,72,6,16,30,26
93,0.026882335460851097,0.007935606966691707,0.012984797686804817,0.044905027364090654,0.44835959984385515,0.20782086219821969,0.7583088166165509,72,6,15,30,27
94,0.026958003051402737,0.007978148621133158,0.013174116737869394,0.044600526928321955,0.4471612928769283,0.21007010127452022,0.7529634393937232,72,6,15,33,24
95,0.027003193963930073,0.008039941149310424,0.013605216336382,0.04459803881007806,0.446742162561091,0.21008861696796421,0.7407906230702388,72,6,15,30,27
96,0.027074430735488614,0.008077046733751257,0.013753961989494723,0.04476135006144509,0.4456428791945188,0.20887803023538398,0.7365928915264862,72,6,15,32,25
97,0.026965453518565937,0.008127658126271538,0.013470389839199064,0.04506900463211135,0.44799790238161563,0.206623257465369,0.7445970240864851,72,6,16,30,26
98,0.02703958934706115,0.008208030921143947,0.013207233867073953,0.04488589405511779,0.4471247532447633,0.20796122057627014,0.7520282446064016,72,6,15,30,27
