policy,module_name,shard_id,projection_id,block_id,projection_name,execution_index,row_shard_index,col_shard_index,sim_input_start,sim_input_end,sim_output_start,sim_output_end,tile_id,tier_start,tiers_used,used_rows,used_cols,weights_in_shard,weights_in_projection,shard_weight,sensitivity_score,sensitivity_score_unit,sensitivity_reference_noise_std,shard_importance
random,decoder_stack.layers.0.ffn1,decoder_stack.layers.0.ffn1#r1c5,block_0/mlp.c_fc,block_0,mlp.c_fc,2,1,5,512,768,2560,3072,42,1,1,256,512,131072,2359296,0.05555555555555555,0.2156455889038142,delta_ppl_total,0.023,0.011980310494656343
random,decoder_stack.layers.0.ffn2,decoder_stack.layers.0.ffn2#r0c0,block_0/mlp.c_proj,block_0,mlp.c_proj,3,0,0,0,512,0,512,40,1,1,512,512,262144,2359296,0.1111111111111111,4.496658314707527,delta_ppl_total,0.023,0.4996287016341696
random,decoder_stack.layers.0.ffn2,decoder_stack.layers.0.ffn2#r0c1,block_0/mlp.c_proj,block_0,mlp.c_proj,3,0,1,0,512,512,768,41,1,1,512,256,131072,2359296,0.05555555555555555,4.496658314707527,delta_ppl_total,0.023,0.2498143508170848
random,decoder_stack.layers.0.ffn2,decoder_stack.layers.0.ffn2#r1c0,block_0/mlp.c_proj,block_0,mlp.c_proj,3,1,0,512,1024,0,512,43,1,1,512,512,262144,2359296,0.1111111111111111,4.496658314707527,delta_ppl_total,0.023,0.4996287016341696
random,decoder_stack.layers.0.ffn2,decoder_stack.layers.0.ffn2#r1c1,block_0/mlp.c_proj,block_0,mlp.c_proj,3,1,1,512,1024,512,768,44,1,1,512,256,131072,2359296,0.05555555555555555,4.496658314707527,delta_ppl_total,0.023,0.2498143508170848
random,decoder_stack.layers.0.ffn2,decoder_stack.layers.0.ffn2#r2c0,block_0/mlp.c_proj,block_0,mlp.c_proj,3,2,0,1024,1536,0,512,45,1,1,512,512,262144,2359296,0.1111111111111111,4.496658314707527,delta_ppl_total,0.023,0.4996287016341696
random,decoder_stack.layers.0.ffn2,decoder_stack.layers.0.ffn2#r2c1,block_0/mlp.c_proj,block_0,mlp.c_proj,3,2,1,1024,1536,512,768,47,1,1,512,256,131072,2359296,0.05555555555555555,4.496658314707527,delta_ppl_total,0.023,0.2498143508170848
random,decoder_stack.layers.0.ffn2,decoder_stack.layers.0.ffn2#r3c0,block_0/mlp.c_proj,block_0,mlp.c_proj,3,3,0,1536,2048,0,512,48,1,1,512,512,262144,2359296,0.1111111111111111,4.496658314707527,delta_ppl_total,0.023,0.4996287016341696
random,decoder_stack.layers.0.ffn2,decoder_stack.layers.0.ffn2#r3c1,block_0/mlp.c_proj,block_0,mlp.c_proj,3,3,1,1536,2048,512,768,50,1,1,512,256,131072,2359296,0.05555555555555555,4.496658314707527,delta_ppl_total,0.023,0.2498143508170848
random,decoder_stack.layers.0.ffn2,decoder_stack.layers.0.ffn2#r4c0,block_0/mlp.c_proj,block_0,mlp.c_proj,3,4,0,2048,2560,0,512,51,1,1,512,512,262144,2359296,0.1111111111111111,4.496658314707527,delta_ppl_total,0.023,0.4996287016341696
random,decoder_stack.layers.0.ffn2,decoder_stack.layers.0.ffn2#r4c1,block_0/mlp.c_proj,block_0,mlp.c_proj,3,4,1,2048,2560,512,768,53,1,1,512,256,131072,2359296,0.05555555555555555,4.496658314707527,delta_ppl_total,0.023,0.2498143508170848
random,decoder_stack.layers.0.ffn2,decoder_stack.layers.0.ffn2#r5c0,block_0/mlp.c_proj,block_0,mlp.c_proj,3,5,0,2560,3072,0,512,54,1,1,512,512,262144,2359296,0.1111111111111111,4.496658314707527,delta_ppl_total,0.023,0.4996287016341696
