policy,timestep,sensitivity_weighted_variance_proxy,quality_proxy_delta_nll,weighted_noise_sum,mean_weighted_tile_noise,reference_noise_std,proxy_noise_scaling,shard_weight,shards_on_faulted,shards_on_unavailable,projections_on_faulted,projections_on_unavailable,available_tiles,faulted_tiles
random,34,50.90211472028696,50.90211472028696,50.90211472028696,0.025530261933453466,0.023,variance_ratio_squared,48.000000000000284,0,0,0,0,72,0
random,35,51.78128530214,51.78128530214,51.78128530214,0.02587406311570115,0.023,variance_ratio_squared,48.000000000000284,0,0,0,0,72,0
random,36,51.729182256683366,51.729182256683366,51.729182256683366,0.02592372598493072,0.023,variance_ratio_squared,48.000000000000284,0,0,0,0,72,0
random,37,50.589271166956934,50.589271166956934,50.589271166956934,0.02576283631962334,0.023,variance_ratio_squared,48.000000000000284,0,0,0,0,72,0
random,38,49.331893653789336,49.331893653789336,49.331893653789336,0.02550660129857773,0.023,variance_ratio_squared,48.000000000000284,0,0,0,0,72,0
random,39,49.61612665870918,49.61612665870918,49.61612665870918,0.025506047801341466,0.023,variance_ratio_squared,48.000000000000284,0,0,0,0,72,0
random,40,49.810249406512376,49.810249406512376,49.810249406512376,0.0256553159854654,0.023,variance_ratio_squared,48.000000000000284,0,0,0,0,72,0
random,41,50.28455661514076,50.28455661514076,50.28455661514076,0.025828130688637794,0.023,variance_ratio_squared,48.000000000000284,0,0,0,0,72,0
random,42,49.32672316868257,49.32672316868257,49.32672316868257,0.025629726316195655,0.023,variance_ratio_squared,48.000000000000284,0,0,0,0,72,0
random,43,49.4293445124197,49.4293445124197,49.4293445124197,0.025649590197970862,0.023,variance_ratio_squared,48.000000000000284,0,0,0,0,72,0
random,44,49.95002242468375,49.95002242468375,49.95002242468375,0.02581158287002287,0.023,variance_ratio_squared,48.000000000000284,0,0,0,0,72,0
random,45,50.07244463119732,50.07244463119732,50.07244463119732,0.025763542737721194,0.023,variance_ratio_squared,48.000000000000284,0,0,0,0,72,0
random,46,50.256486524790965,50.256486524790965,50.256486524790965,0.025738673419522046,0.023,variance_ratio_squared,48.000000000000284,0,0,0,0,72,0
