policy,module_name,shard_id,projection_id,block_id,projection_name,execution_index,row_shard_index,col_shard_index,sim_input_start,sim_input_end,sim_output_start,sim_output_end,tile_id,tier_start,tiers_used,used_rows,used_cols,weights_in_shard,group_total_weights,module_num_weights,shard_weight,sensitivity_score,sensitivity_score_unit,sensitivity_reference_noise_std,shard_importance,utilization,trace_seed,placement_seed
static_sensitivity,decoder_stack.layers.0.ffn1,decoder_stack.layers.0.ffn1#r0c1,block_0/mlp.c_fc,block_0,mlp.c_fc,2,0,1,0,512,512,1024,45,2,1,512,512,262144,2359296,2359296,0.1111111111111111,0.2156455889038142,delta_ppl_total,0.023,0.023960620989312686,1.0,42,42
static_sensitivity,decoder_stack.layers.0.ffn1,decoder_stack.layers.0.ffn1#r0c2,block_0/mlp.c_fc,block_0,mlp.c_fc,2,0,2,0,512,1024,1536,47,2,1,512,512,262144,2359296,2359296,0.1111111111111111,0.2156455889038142,delta_ppl_total,0.023,0.023960620989312686,1.0,42,42
static_sensitivity,decoder_stack.layers.0.ffn1,decoder_stack.layers.0.ffn1#r0c3,block_0/mlp.c_fc,block_0,mlp.c_fc,2,0,3,0,512,1536,2048,48,2,1,512,512,262144,2359296,2359296,0.1111111111111111,0.2156455889038142,delta_ppl_total,0.023,0.023960620989312686,1.0,42,42
static_sensitivity,decoder_stack.layers.0.ffn1,decoder_stack.layers.0.ffn1#r0c4,block_0/mlp.c_fc,block_0,mlp.c_fc,2,0,4,0,512,2048,2560,49,2,1,512,512,262144,2359296,2359296,0.1111111111111111,0.2156455889038142,delta_ppl_total,0.023,0.023960620989312686,1.0,42,42
static_sensitivity,decoder_stack.layers.0.ffn1,decoder_stack.layers.0.ffn1#r0c5,block_0/mlp.c_fc,block_0,mlp.c_fc,2,0,5,0,512,2560,3072,50,2,1,512,512,262144,2359296,2359296,0.1111111111111111,0.2156455889038142,delta_ppl_total,0.023,0.023960620989312686,1.0,42,42
static_sensitivity,decoder_stack.layers.0.ffn1,decoder_stack.layers.0.ffn1#r1c0,block_0/mlp.c_fc,block_0,mlp.c_fc,2,1,0,512,768,0,512,51,2,1,256,512,131072,2359296,2359296,0.05555555555555555,0.2156455889038142,delta_ppl_total,0.023,0.011980310494656343,0.5,42,42
static_sensitivity,decoder_stack.layers.0.ffn1,decoder_stack.layers.0.ffn1#r1c1,block_0/mlp.c_fc,block_0,mlp.c_fc,2,1,1,512,768,512,1024,52,2,1,256,512,131072,2359296,2359296,0.05555555555555555,0.2156455889038142,delta_ppl_total,0.023,0.011980310494656343,0.5,42,42
static_sensitivity,decoder_stack.layers.0.ffn1,decoder_stack.layers.0.ffn1#r1c2,block_0/mlp.c_fc,block_0,mlp.c_fc,2,1,2,512,768,1024,1536,53,2,1,256,512,131072,2359296,2359296,0.05555555555555555,0.2156455889038142,delta_ppl_total,0.023,0.011980310494656343,0.5,42,42
static_sensitivity,decoder_stack.layers.0.ffn1,decoder_stack.layers.0.ffn1#r1c3,block_0/mlp.c_fc,block_0,mlp.c_fc,2,1,3,512,768,1536,2048,54,2,1,256,512,131072,2359296,2359296,0.05555555555555555,0.2156455889038142,delta_ppl_total,0.023,0.011980310494656343,0.5,42,42
static_sensitivity,decoder_stack.layers.0.ffn1,decoder_stack.layers.0.ffn1#r1c4,block_0/mlp.c_fc,block_0,mlp.c_fc,2,1,4,512,768,2048,2560,55,2,1,256,512,131072,2359296,2359296,0.05555555555555555,0.2156455889038142,delta_ppl_total,0.023,0.011980310494656343,0.5,42,42
static_sensitivity,decoder_stack.layers.0.ffn1,decoder_stack.layers.0.ffn1#r1c5,block_0/mlp.c_fc,block_0,mlp.c_fc,2,1,5,512,768,2560,3072,56,2,1,256,512,131072,2359296,2359296,0.05555555555555555,0.2156455889038142,delta_ppl_total,0.023,0.011980310494656343,0.5,42,42
