trace_seed,design,digital_weight_mode,policy,timestep,realization,nll,all_analog_nll,nll_improvement_vs_all_analog,static_sensitivity_nll,nll_improvement_vs_static_sensitivity,nominal_nll,checkpoint_digital_nll,checkpoint_clipped_digital_nll,digital_projection_mac_fraction,predicted_tokens
43,hybrid_top2_sens,clipped,static_sensitivity,0,0,3.538509272332687,3.5960622713984556,0.057552999065768606,3.5960622713984556,0.057552999065768606,3.4453407145742876,3.759030776211865,3.437126201540766,0.3172229855330154,285417
43,hybrid_top2_sens,clipped,static_sensitivity,119,0,3.592279437622289,3.6793252874873446,0.08704584986505548,3.6793252874873446,0.08704584986505548,3.4453407145742876,3.759030776211865,3.437126201540766,0.3172229855330154,285417
44,hybrid_lm_head,clipped,hardware_only,0,0,3.529954018131379,3.6120919600182537,0.08213794188687462,3.567039220563827,0.03708520243244795,3.4457322773540318,3.75903074202999,3.4371261767589063,0.31244832109618337,285417
44,hybrid_lm_head,clipped,hardware_only,119,0,3.607703252505231,3.73072487051769,0.12302161801245903,3.655900022889551,0.04819677038432024,3.4457322773540318,3.75903074202999,3.4371261767589063,0.31244832109618337,285417
44,hybrid_lm_head_sens,clipped,static_sensitivity,0,0,3.5133398502103743,3.567039220563827,0.053699370353452736,3.567039220563827,0.053699370353452736,3.4457322773540318,3.75903074202999,3.4371261767589063,0.31244832109618337,285417
44,hybrid_lm_head_sens,clipped,static_sensitivity,119,0,3.5773700197965015,3.655900022889551,0.07853000309304958,3.655900022889551,0.07853000309304958,3.4457322773540318,3.75903074202999,3.4371261767589063,0.31244832109618337,285417
44,hybrid_top2,clipped,hardware_only,0,0,3.525645262024309,3.6120919600182537,0.08644669799394489,3.567039220563827,0.041393958539518216,3.4453407145742876,3.75903074202999,3.4371261767589063,0.3172229855330154,285417
44,hybrid_top2,clipped,hardware_only,119,0,3.6027046095940376,3.73072487051769,0.12802026092365226,3.655900022889551,0.05319541329551347,3.4453407145742876,3.75903074202999,3.4371261767589063,0.3172229855330154,285417
44,hybrid_top2_sens,clipped,static_sensitivity,0,0,3.5122696575725376,3.567039220563827,0.05476956299128943,3.567039220563827,0.05476956299128943,3.4453407145742876,3.75903074202999,3.4371261767589063,0.3172229855330154,285417
44,hybrid_top2_sens,clipped,static_sensitivity,119,0,3.5694533223319653,3.655900022889551,0.08644670055758574,3.655900022889551,0.08644670055758574,3.4453407145742876,3.75903074202999,3.4371261767589063,0.3172229855330154,285417
45,hybrid_lm_head,clipped,hardware_only,0,0,3.5443689344604383,3.6150167133645774,0.07064777890413909,3.5744163067110124,0.030047372250574078,3.4458091353002844,3.75903074202999,3.4371261767589063,0.31244832109618337,285417
45,hybrid_lm_head,clipped,hardware_only,119,0,3.6004014639016977,3.7584172132621956,0.1580157493604979,3.6679206526834904,0.06751918878179275,3.4458091353002844,3.75903074202999,3.4371261767589063,0.31244832109618337,285417
45,hybrid_lm_head_sens,clipped,static_sensitivity,0,0,3.5213678224966944,3.5744163067110124,0.05304848421431796,3.5744163067110124,0.05304848421431796,3.4458091353002844,3.75903074202999,3.4371261767589063,0.31244832109618337,285417
45,hybrid_lm_head_sens,clipped,static_sensitivity,119,0,3.5740017908021113,3.6679206526834904,0.0939188618813791,3.6679206526834904,0.0939188618813791,3.4458091353002844,3.75903074202999,3.4371261767589063,0.31244832109618337,285417
45,hybrid_top2,clipped,hardware_only,0,0,3.5359161464116906,3.6150167133645774,0.07910056695288681,3.5744163067110124,0.038500160299321795,3.4454463741685326,3.75903074202999,3.4371261767589063,0.3172229855330154,285417
45,hybrid_top2,clipped,hardware_only,119,0,3.5898433970721393,3.7584172132621956,0.1685738161900563,3.6679206526834904,0.07807725561135115,3.4454463741685326,3.75903074202999,3.4371261767589063,0.3172229855330154,285417
45,hybrid_top2_sens,clipped,static_sensitivity,0,0,3.5186310028089847,3.5744163067110124,0.05578530390202774,3.5744163067110124,0.05578530390202774,3.4454463741685326,3.75903074202999,3.4371261767589063,0.3172229855330154,285417
45,hybrid_top2_sens,clipped,static_sensitivity,119,0,3.56949260585197,3.6679206526834904,0.09842804683152062,3.6679206526834904,0.09842804683152062,3.4454463741685326,3.75903074202999,3.4371261767589063,0.3172229855330154,285417
