timestep,mean_noise_std,std_noise_std,min_noise_std,max_noise_std,mean_fidelity_score,min_fidelity_score,max_fidelity_score,available_tiles,faulted_tiles,high_fidelity_tiles,medium_fidelity_tiles,low_fidelity_tiles
24,0.0243925550996646,0.007035431026465565,0.013138339586911952,0.038471186525909196,0.49185396849650154,0.2633108627722316,0.7539737189644592,64,0,16,32,16
25,0.024605199854015915,0.007040025283542032,0.0133754074852412,0.03840283208137844,0.4875341630822707,0.26400136585332395,0.7472790791118771,64,0,16,32,16
26,0.02459952279700575,0.007003272706738552,0.01324955653377025,0.0381301578699759,0.48745396770944127,0.2667797746760284,0.7508330680865802,64,0,16,32,16
27,0.02461633344938073,0.007022953485228095,0.013063089554626066,0.038266858681833084,0.4872188332575896,0.2653820671786328,0.7560984823470062,64,0,16,32,16
28,0.024584670397369557,0.006982853223262077,0.013027333832301296,0.03789557018731651,0.4876473200766754,0.2692010252233335,0.7571079843924035,64,0,16,32,16
29,0.024575288079711908,0.0069748528207006725,0.013034589679961366,0.03780569270955456,0.4877949074687341,0.2701363405495623,0.7569031338683162,64,0,16,32,16
30,0.024553870340663246,0.007041670765797484,0.01277364569815389,0.038278198052973327,0.4885923108021524,0.26526656118315056,0.764267504233212,64,0,16,32,16
31,0.024505635219971112,0.007056607038476526,0.012768354502754632,0.03835333863673961,0.4896549635025499,0.26450283221903653,0.7644167591429576,64,0,16,32,16
32,0.024616211085559173,0.0071420334145565175,0.012637463053744429,0.03887626518299089,0.487862979010506,0.2592674647296701,0.7681077342537231,64,0,16,32,16
33,0.024554039572855624,0.007132106519013191,0.012567601454624088,0.038805615849396485,0.48907707359824415,0.2599667234842891,0.7700766482935713,64,0,16,32,16
34,0.0248235972993612,0.0071679891213406195,0.012806294605254192,0.0389434309987986,0.4837981798921097,0.25860499341115684,0.7633464618954001,64,0,16,32,16
35,0.02502005240244987,0.0072461785014095595,0.012890427580902915,0.03944018188491017,0.4802691084677547,0.2537744820030794,0.7609724715413673,64,0,16,32,16
36,0.02502583336290856,0.007237861629968923,0.01284637786847473,0.03937998886669321,0.48010906189900593,0.2543533950115665,0.7622155220628271,64,0,16,32,16
37,0.025060132280018067,0.007252756699020146,0.012860961043696821,0.03955026193452306,0.479502674875338,0.2527203000500497,0.7618040175593556,64,0,15,33,16
38,0.025169485136392753,0.007331106040834064,0.012975860581151575,0.040038776405962706,0.47774167522887756,0.24811176905695692,0.7585611028746196,64,0,16,31,17
39,0.025145831742652197,0.00726430321052879,0.012948452783059517,0.039556457235767575,0.47785246535760517,0.25266114406143975,0.7593347618854059,64,0,15,33,16
40,0.025095432212022893,0.007234082375489244,0.012869428109081095,0.039253458531075515,0.4786962386374466,0.25557605020508806,0.7615650858004192,64,0,15,33,16
41,0.025071067750007794,0.00718446676886101,0.01294040925306811,0.03897873019965343,0.4789140938479852,0.25825772888239307,0.7595618008367216,64,0,15,33,16
42,0.025002521062822573,0.007092630222250885,0.013007044842219628,0.038855374956234146,0.47978909969244865,0.2594739680922802,0.7576807752393677,64,0,15,33,16
43,0.025003893423388157,0.007169467288380057,0.01281233540535307,0.03872249335190729,0.48017917880980004,0.26079263817674625,0.7631760338298462,64,0,15,33,16
44,0.02517240726114118,0.007179397623128972,0.013015862873466153,0.038772498215508884,0.47693612246152656,0.2602953684980873,0.7574318312737675,64,1,15,32,17
45,0.025289808190145896,0.007177995137913576,0.013135740117592554,0.039093896588278665,0.47459320500744184,0.25712904238898615,0.7540471215286455,64,1,15,32,17
46,0.025298582591962385,0.007185901460107314,0.013189932749868233,0.03896616257574057,0.4744625521922897,0.25838129504679574,0.7525168138794884,64,1,15,32,17
47,0.025359043234436725,0.007186513991361329,0.013253943958740006,0.03911492472504541,0.47326847266387695,0.25692366335828615,0.7507091677804298,64,1,15,32,17
48,0.025343292398563047,0.007166620266627574,0.013434560984814164,0.038872955918053384,0.47347225707124074,0.2593001628451418,0.7456087007122204,64,1,15,32,17
49,0.02536503518347951,0.00717064623649543,0.013535640207316197,0.03887837193714009,0.47306533606484313,0.25924665120362506,0.7427547477519139,64,1,15,32,17
50,0.025561036274099242,0.007227983321432627,0.013631121503056072,0.03905168000390554,0.46951714370954023,0.25754202432716544,0.7400594141255948,64,1,15,32,17
51,0.025650063991382196,0.007260852087340948,0.013411448736140816,0.03957547203470904,0.46795192307668976,0.25247969583131535,0.7462613324338603,64,1,15,32,17
52,0.0256186743401807,0.007249698252187533,0.013566861880132368,0.03941538848127259,0.4685059805027426,0.25401272287837784,0.7418733233409259,64,1,15,32,17
53,0.025446300897445442,0.007176759869204763,0.013484373129680828,0.03915930369553197,0.4714918281394699,0.2564909338900167,0.7442022019706837,64,1,15,32,17
54,0.025325769863045702,0.007186395935083941,0.013340143155468394,0.039204260110158054,0.4739254562634654,0.25605355984077255,0.7482749157549762,64,1,15,32,17
55,0.025378483529064466,0.007179213112605524,0.013409397252883832,0.0392323546389787,0.4728434587605047,0.2557807352126418,0.7463192620121536,64,1,15,32,17
56,0.02548408373973581,0.0072177543894638195,0.013450151174820185,0.03928740150476594,0.47097278814119564,0.2552472961092264,0.7451684839521326,64,1,15,32,17
57,0.025499920972748853,0.0072102949012859486,0.013485670533466085,0.039181289097338826,0.4706206347745753,0.25627691746801357,0.7441655698837095,64,1,15,32,17
58,0.025505764988216932,0.007228447582827203,0.013469375392305494,0.039155713159280424,0.4706057138460842,0.2565259084245002,0.7446256676303991,64,1,15,32,17
59,0.02532120337757498,0.0071635469077420775,0.0133424547357023,0.03927997383943565,0.47389041920645786,0.2553191885960214,0.748209637896791,64,1,15,32,17
60,0.025213418748696526,0.007114698032001816,0.013446920630459658,0.03867628256218314,0.47576546678110626,0.261253296494691,0.745259703340772,64,1,15,32,17
61,0.025383057461088192,0.007173138837451227,0.013608900474857591,0.038710846117851916,0.47272283381828417,0.26090864376623224,0.7406866299761393,64,1,15,32,17
62,0.02541861439344825,0.00719888137828714,0.0135258914755789,0.039187742447522135,0.47215974108656067,0.2562141424812307,0.743029978274315,64,1,15,32,17
63,0.025339057874644532,0.0071568902112000305,0.01350086699483933,0.03888058078006094,0.4735035719177036,0.25922483147628644,0.743736505331073,64,1,15,32,17
64,0.025355001430684577,0.007140913435540335,0.013559940184403603,0.039360239563521734,0.47309643252238054,0.2545437186354238,0.7420687254801838,64,1,15,32,17
65,0.025361117545327275,0.00715609152323673,0.013373805591001374,0.039536781963824826,0.47305802244229234,0.25284907758901715,0.7473243147909621,64,1,15,32,17
66,0.02525243356017599,0.0071347463981818356,0.013282559090038847,0.03937391768710806,0.4750950229122469,0.2544118826982047,0.749901078287322,64,1,15,32,17
67,0.025469626203356882,0.007177968464452645,0.013349975411394047,0.03954099597472847,0.4710864807549078,0.2528088107054015,0.7479972583897578,64,2,15,31,18
68,0.025750408143613273,0.007216203284118877,0.013217272940047315,0.03997517559256451,0.46583532061941013,0.24870538461199052,0.7517447470084611,64,3,14,31,19
69,0.025845208897608066,0.007256567284481933,0.013296063844274628,0.039878633711515184,0.4642207261612483,0.2496100813672776,0.7495197047789665,64,3,14,31,19
70,0.026283324719509865,0.007391520578529648,0.01355549396947646,0.0399997284248103,0.45663167816132266,0.24847599735789735,0.7421942455159157,64,4,14,30,20
71,0.026345023609006077,0.007437233952380385,0.013481506692628632,0.040058492033779286,0.45571235247650227,0.24792813812896783,0.7442831358693118,64,4,14,29,21
72,0.02626274541324551,0.007450225385264361,0.013414045083269344,0.0400594421889277,0.4573526218697277,0.24791929298837415,0.7461880172344942,64,4,14,29,21
73,0.026078198653663284,0.007377613442876302,0.013392223076709777,0.03943433006016933,0.4604743130212339,0.25383068563702077,0.7468042295975096,64,4,14,30,20
74,0.026245827634354027,0.0074563540698806205,0.013317579329062218,0.04008152562532714,0.45770825768375256,0.2477138335244353,0.7489121104633687,64,4,14,29,21
75,0.026272646819210602,0.0074412179518617465,0.01337324090856526,0.0399725881290601,0.45711112289027134,0.2487295747026768,0.747340260797293,64,4,14,29,21
76,0.02628590869762692,0.00748204825017182,0.013281623805821895,0.03989388879163555,0.4570839400963904,0.2494668338567816,0.7499274906740498,64,4,14,29,21
77,0.026534160167958773,0.007531463214365127,0.013476968363764143,0.040725001294149285,0.4526664295417864,0.24182572696012294,0.7444112764640649,64,4,13,29,22
78,0.026529825333404377,0.0075385981463928255,0.013486527367943087,0.04088952653586583,0.45279178604286696,0.24035038848543852,0.744141377279237,64,4,13,29,22
79,0.026602060519377798,0.007512500840601766,0.013587391114793177,0.04100082205487272,0.451285406544055,0.23935921492882914,0.7412937944836225,64,4,13,29,22
80,0.026624662048725614,0.00750971628305374,0.013659880765116868,0.04108871754953906,0.4508475148381421,0.2385803116788917,0.7392477093021403,64,4,13,29,22
81,0.02647323549955595,0.007467477245460214,0.013642695900642572,0.04134900803444832,0.4534684666122,0.2362935803269698,0.7397327284632039,64,4,13,29,22
82,0.026504661438439513,0.007493828503286015,0.013761457628148285,0.040849868947623366,0.4530221296144298,0.24070490119577403,0.7363814163219513,64,4,13,29,22
83,0.026368173968462083,0.0073669571776326884,0.013717009105492853,0.04038125960103828,0.45488366389362644,0.24494753718891044,0.7376355354887254,64,4,13,31,20
84,0.02634088221300996,0.007367968970190007,0.013785919091560638,0.04053879780607121,0.45541195890361763,0.24351014085726405,0.7356913267458867,64,4,13,30,21
85,0.02639865424779481,0.0073774392932782285,0.013791356536536157,0.04046481815619788,0.45436710094487853,0.24418372953739118,0.7355379387838338,64,4,13,31,20
86,0.026495708607512634,0.007415352950026874,0.013731560372599443,0.040595357041267065,0.4527418075612481,0.24299684323038342,0.7372249470562323,64,4,13,29,22
87,0.02657375087874242,0.0074232731928543854,0.013654370128391977,0.04111546425956303,0.45131107611155685,0.23834396616032086,0.7394032366403169,64,4,13,29,22
88,0.026714606340998426,0.007478669984832025,0.013631084771269194,0.04104804464483253,0.44897375117543376,0.23894031883758668,0.7400604508925985,64,4,13,28,23
89,0.026813228610311258,0.007495591726022832,0.013828754327378838,0.04108671090362498,0.44723163328473603,0.23859805596586747,0.7344830600043024,64,4,13,28,23
90,0.026701644145122966,0.0074693670759464394,0.013894048835526654,0.04079642105930453,0.449174125483709,0.24118380071675838,0.7326417302979016,64,4,13,29,22
