tile_id,thermal_zone,initial_fidelity_class,base_noise_std,drift_rate,fault_onset_timestep,fault_noise_increase_fraction,initial_noise_std,final_noise_std,mean_noise_std,max_noise_std,initial_fidelity_score,final_fidelity_score,final_dynamic_fidelity_class,final_available,final_faulted
10,0,medium,0.020733866440854627,0.17849214261385635,,0.0,0.020733866440854627,0.02422346933989627,0.022582836089615362,0.024504486595798465,0.5516776949690908,0.4741093003048173,medium,True,False
11,0,high,0.017174815170637295,0.16377792947528153,68,0.7961877820279185,0.017174815170637295,0.03348707785310078,0.02450560862240194,0.033721981016930525,0.6420103337140509,0.32053138978063345,low,True,True
12,0,low,0.0360166278806467,0.15791944339264052,,0.0,0.0360166278806467,0.04133742895768403,0.03885797813636951,0.041831808256632456,0.2896729431870149,0.2363946782323356,low,True,False
13,0,medium,0.02394376074168114,0.11481395596626556,,0.0,0.02394376074168114,0.02644890801111577,0.0253166292787799,0.02678624325808267,0.4799040503443784,0.4305907509411222,medium,True,False
14,0,medium,0.024291353542701052,0.1440963261053665,,0.0,0.024291353542701052,0.027544176568969885,0.026039806285475944,0.02788043154743457,0.472714010408753,0.4108158213762266,medium,True,False
15,0,medium,0.022811012567476363,0.13761469533691034,,0.0,0.022811012567476363,0.025717752530667198,0.02437898645610337,0.02603475823085037,0.5041253010066505,0.44438739737535277,medium,True,False
16,1,low,0.035132419002766625,0.14747699023322303,,0.0,0.035132419002766625,0.03919074086896782,0.037727578136100275,0.04012822379838241,0.30000790597632726,0.25618498227276365,low,True,False
17,1,medium,0.021343066191387226,0.06266664817098337,,0.0,0.021343066191387226,0.02199839803283462,0.02201457797854069,0.02307330516298663,0.5373141441377256,0.5222475914052087,medium,True,False
18,1,low,0.030953676676530956,0.11237111032559145,,0.0,0.030953676676530956,0.03344263500911242,0.03269683272835389,0.03437819001496814,0.3557187095284033,0.321110138064479,low,True,False
19,1,low,0.036049307248472336,0.056242126079283875,,0.0,0.036049307248472336,0.03692458982337832,0.03706771819544342,0.03889779510960975,0.2892998613054278,0.2795354673184164,low,True,False
20,1,low,0.03423408509651682,0.12409862288667785,,0.0,0.03423408509651682,0.03738829889197442,0.03636271765348723,0.03838251669135513,0.3109985460523919,0.2745363781912664,low,True,False
21,1,low,0.03510017217962694,0.0994791818499178,,0.0,0.03510017217962694,0.03747003771510914,0.0368505836375765,0.038576549036081854,0.30039373378293543,0.27366734620473127,low,True,False
22,1,low,0.036937989488227435,0.07167862832990704,,0.0,0.036937989488227435,0.038405042758777805,0.038266602831563266,0.040038776405962706,0.27938934737503696,0.2639789966253393,low,True,False
23,1,high,0.0162996303400034,0.06551044515838275,,0.0,0.0162996303400034,0.016846457978821575,0.016835638130985563,0.01763580997088125,0.6656784682634314,0.6508340947276658,high,True,False
24,1,medium,0.02324646524302678,0.13814668582665682,,0.0,0.02324646524302678,0.02571488439946028,0.024855185255275903,0.026357071263760648,0.4946707658252732,0.4444424729989735,medium,True,False
25,1,high,0.015865441174286128,0.07558894528053292,,0.0,0.015865441174286128,0.016557602282267117,0.016467120727874176,0.017217088140466467,0.6775864191335472,0.6586531009712954,high,True,False
26,1,low,0.03269634090217603,0.1887680177565196,,0.0,0.03269634090217603,0.0378233246850538,0.03578658474039605,0.03855966159038124,0.3310282941725436,0.2699525157289012,low,True,False
27,1,medium,0.020841762039012522,0.13715917095505925,,0.0,0.020841762039012522,0.023034256934568058,0.02227377913028787,0.02361208898584426,0.5491088920871742,0.4992558386323892,medium,True,False
28,1,medium,0.022708899990468868,0.10203047068022557,,0.0,0.022708899990468868,0.02430007841898081,0.02387033923409132,0.025010120129205976,0.5063683047166601,0.47253499279981515,medium,True,False
29,1,medium,0.021687089494969836,0.13863732372221252,67,0.38230390879100906,0.021687089494969836,0.03229162638292673,0.02685510105375052,0.032889662280975854,0.5293547466796792,0.3365677056240834,low,True,True
30,1,high,0.01499903970141666,0.053420580654454625,,0.0,0.01499903970141666,0.015320898158182838,0.015401609833477842,0.016170696295948576,0.7016183186277307,0.6926532349830634,high,True,False
31,1,medium,0.02462565413703357,0.19378388198621682,,0.0,0.02462565413703357,0.028610624415166014,0.027014869029323586,0.029152749984701774,0.4659057230333415,0.3925590893821272,low,True,False
32,2,medium,0.021776121634980567,0.12234551554143505,,0.0,0.021776121634980567,0.02401469611087996,0.02311529577850955,0.02495428840839245,0.5273128764459206,0.4784275181233343,medium,True,False
33,2,medium,0.020968192611769704,0.16741028408754297,,0.0,0.020968192611769704,0.024068639132705343,0.022730144621106466,0.0248789943429829,0.5461123759213672,0.4773078510338292,medium,True,False
34,2,medium,0.021994365903301186,0.06240949998836579,,0.0,0.021994365903301186,0.022937121124601816,0.022687834166259694,0.02405229674111734,0.5223390635797566,0.5013688005701664,medium,True,False
35,2,high,0.014338164107158432,0.12299874962572406,,0.0,0.014338164107158432,0.015821486425223057,0.015224606535787737,0.01643896641825007,0.7201365074237898,0.678797393983696,high,True,False
36,2,medium,0.023744815967743717,0.12360604915317815,,0.0,0.023744815967743717,0.026215702380749887,0.025220025198436784,0.02723646672529764,0.4840703850185026,0.4349388065580028,medium,True,False
37,2,medium,0.02326234790076988,0.19067396824624744,,0.0,0.02326234790076988,0.027243185936107046,0.025487661165547747,0.028107097756045144,0.4943293093379092,0.41614511518330255,medium,True,False
38,2,high,0.01715741470236188,0.13575920785641132,,0.0,0.01715741470236188,0.019151332683978055,0.01832762267156392,0.019862628037072224,0.642476141022764,0.5905510424993262,high,True,False
39,2,low,0.03601168457101197,0.12102341015854308,,0.0,0.03601168457101197,0.03966605659608329,0.03820250273153752,0.041225883896860036,0.289729432452753,0.2516176726244031,low,True,False
40,2,low,0.03363875912524865,0.09004634946378405,,0.0,0.03363875912524865,0.03601030296881853,0.035164202306019215,0.03759869654838097,0.31856605712144004,0.28974522315136786,low,True,False
41,2,high,0.0173306172118297,0.09973534960138283,,0.0,0.0173306172118297,0.018720347912553288,0.018200480472947412,0.019517518982278548,0.637848692526329,0.60151133352057,high,True,False
42,2,medium,0.021468075431575438,0.12810086037073068,70,0.517548530001519,0.021468075431575438,0.0349093099694444,0.027479571500475,0.03582003643509392,0.5344091489977328,0.3026904680805026,low,True,True
43,2,high,0.0127805944205197,0.11583671904575701,,0.0,0.0127805944205197,0.014011246883621514,0.013524974181698105,0.014573187408710126,0.7640714881768207,0.7293382480512518,high,True,False
44,2,low,0.030728440319135904,0.05324181198204957,,0.0,0.030728440319135904,0.03176385967357011,0.031556433974754314,0.03335738669847506,0.3590732407890791,0.34396598261700684,low,True,False
45,2,medium,0.02402285301274367,0.1739437886291537,,0.0,0.02402285301274367,0.027731928087187593,0.026119964085359226,0.028649784899098786,0.4782580340736562,0.4075312905922875,low,True,False
46,2,medium,0.022824635259156383,0.18442411577596504,,0.0,0.022824635259156383,0.02658791782199977,0.02493675093368808,0.02744396518070451,0.5038268100049185,0.4280221405425189,medium,True,False
47,2,medium,0.021441850183554566,0.07103736334979162,,0.0,0.021441850183554566,0.02254592000797561,0.022210396656721042,0.023609762544318406,0.5350173728714505,0.5099687274517941,medium,True,False
48,3,medium,0.023004805965475474,0.13310542153085742,,0.0,0.023004805965475474,0.026613148137521424,0.024483777016240847,0.026613148137521424,0.4998955334052136,0.42755778738901035,medium,True,False
49,3,high,0.013525794590600718,0.06628636117031654,,0.0,0.013525794590600718,0.014743557138783623,0.013943472822842933,0.014743557138783623,0.743032713602142,0.7087613975962292,high,True,False
50,3,medium,0.023903073725357587,0.15083601395597176,,0.0,0.023903073725357587,0.028076126351172157,0.025651701929934066,0.028076126351172157,0.48075309373278247,0.4015884772588587,low,True,False
51,3,low,0.03400463773528108,0.09218506757585125,,0.0,0.03400463773528108,0.03794684004841538,0.03549504327515704,0.03794684004841538,0.31388783602237325,0.2686693903096405,low,True,False
52,3,medium,0.02245269764004382,0.14891339520378527,,0.0,0.02245269764004382,0.026329372353884876,0.02407363966334891,0.026329372353884876,0.5120393958335371,0.4328133564629022,medium,True,False
53,3,high,0.014383694512600291,0.1590491921430324,,0.0,0.014383694512600291,0.017012968250106206,0.015495000913378337,0.017012968250106206,0.7188567855584034,0.646350735950648,high,True,False
54,3,low,0.03569859985669377,0.16529712378764858,,0.0,0.03569859985669377,0.04244718346275816,0.03856824989272014,0.04244718346275816,0.2933364334353207,0.22696426572055628,low,True,False
55,3,medium,0.022364338008545596,0.06616114189338448,,0.0,0.022364338008545596,0.024375057216131358,0.02305355134621449,0.024375057216131358,0.5140096215176816,0.47099951196754475,medium,True,False
56,3,high,0.01315398703606758,0.1874017767706412,,0.0,0.01315398703606758,0.015931425387503445,0.014356759107761819,0.015931425387503445,0.7535318690975813,0.6757703494015936,high,True,False
57,3,low,0.030985654299508742,0.08453209863423213,,0.0,0.030985654299508742,0.03434072964791847,0.032225173244679224,0.03434072964791847,0.35524556655952627,0.3096671687009391,low,True,False
58,3,high,0.01818091157115971,0.05561188342642697,,0.0,0.01818091157115971,0.0196237147008712,0.018645304531255666,0.0196237147008712,0.6154415001434056,0.5787175186312511,medium,True,False
59,3,medium,0.024879471177254992,0.13322787040872253,,0.0,0.024879471177254992,0.028784904176761925,0.026480487040359924,0.028784904176761925,0.4608061759731671,0.38966662782375117,low,True,False
60,3,medium,0.02391865281552945,0.10563834257936583,44,0.3224553096961645,0.02391865281552945,0.03472605446553015,0.030012594850224575,0.03472605446553015,0.48042781033509707,0.30491691047816516,low,True,True
61,3,high,0.014178752278392237,0.174468461469862,,0.0,0.014178752278392237,0.016989189510544327,0.015383537526425024,0.016989189510544327,0.7246207908385782,0.6469898897547632,high,True,False
62,3,high,0.01822276416974941,0.1712377208096453,,0.0,0.01822276416974941,0.02177591100995195,0.01974173734930151,0.02177591100995195,0.614352528874197,0.5273176981822559,medium,True,False
63,3,high,0.01712781769780332,0.09757083392340732,,0.0,0.01712781769780332,0.019205714522740846,0.01792464422810665,0.019205714522740846,0.643268913846033,0.5891790614027261,high,True,False
